      time, U(Top PMT), V(Top PMT),   U(Anode),   V(Anode),    U(Gate),    V(Gate),   U(NaIce),   V(NaIce), U(Cathode), V(Cathode), U(Bottom PMT), V(Bottom PMT)
     0.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     50.720,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     28.190,      0.010,     -9.300,      0.010,   -8.000,      0.010,     -9.630,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     28.860,      0.010,     -8.630,      0.010,   -8.000,      0.010,    -10.320,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     30.920,      0.010,     -6.570,      0.010,   -8.000,      0.010,    -12.400,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     30.920,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     38.100,      0.010,      0.610,      0.010,   -8.000,      0.010,    -12.090,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     39.310,      0.010,      1.820,      0.010,   -8.000,      0.010,    -20.570,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     59.990,      0.010,     22.500,      0.010,   -8.000,      0.010,    -12.290,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     53.080,      0.010,     15.590,      0.010,   -8.000,      0.010,    -34.560,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -45.680,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     50.720,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     28.210,      0.010,     -9.280,      0.010,   -8.000,      0.010,     -9.650,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     29.160,      0.010,     -8.330,      0.010,   -8.000,      0.010,    -10.630,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     31.500,      0.010,     -5.990,      0.010,   -8.000,      0.010,    -12.980,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     35.220,      0.010,     -2.270,      0.010,   -8.000,      0.010,    -16.710,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     35.220,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     54.080,      0.010,     16.590,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -15.120,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -30.990,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -49.630,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     50.720,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     28.300,      0.010,     -9.190,      0.010,   -8.000,      0.010,     -9.740,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     29.520,      0.010,     -7.970,      0.010,   -8.000,      0.010,    -10.990,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     35.360,      0.010,     -2.130,      0.010,   -8.000,      0.010,    -10.360,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     36.130,      0.010,     -1.360,      0.010,   -8.000,      0.010,    -17.620,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     36.130,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     56.460,      0.010,     18.970,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -18.070,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -34.490,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -53.690,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     50.720,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     28.430,      0.010,     -9.060,      0.010,   -8.000,      0.010,     -9.870,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     29.930,      0.010,     -7.560,      0.010,   -8.000,      0.010,    -11.410,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     32.820,      0.010,     -4.670,      0.010,   -8.000,      0.010,    -14.300,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     32.820,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     47.610,      0.010,     10.120,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     58.950,      0.010,     21.460,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -21.130,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -38.110,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -57.860,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     50.720,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     28.620,      0.010,     -8.870,      0.010,   -8.000,      0.010,    -10.070,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     30.400,      0.010,     -7.090,      0.010,   -8.000,      0.010,    -11.870,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     33.560,      0.010,     -3.930,      0.010,   -8.000,      0.010,    -15.050,      0.010,  -10.000,      0.010

   120.000,   -9.000,      0.010,     33.560,      0.010,     -0.000,      0.100,   -8.000,      0.010,    -0.000,       0.100,  -10.000,      0.010

     5.000,   -9.000,      0.010,     49.650,      0.010,     12.160,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     50.720,      0.010,     13.230,      0.010,   -8.000,      0.010,     -8.000,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     51.560,      0.010,     14.070,      0.010,   -8.000,      0.010,    -18.050,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     51.430,      0.010,     13.940,      0.010,   -8.000,      0.010,    -32.930,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -41.840,      0.010,  -10.000,      0.010
   120.000,   -9.000,      0.010,     60.000,      0.010,     22.500,      0.010,   -8.000,      0.010,    -60.000,      0.010,  -10.000,      0.010
