# Ramp schedule prepared for alpha quenching measurement using distribution of field values similar to the ones discussed in this note:
# https://www.mpi-hd.mpg.de/xenewmpiwiki/doku.php?id=hexe_measurements:quenching:proposal_new_alpha_run
# 20 different driftfield values distributed quadratically between 5 V/cm and 1250 V/cm Maximum voltages limited to +/- 5kV
# 5 Measurement cycles, 4 measurement fields each 4 hours long with reference field every 10 hours
# Total run time about 5 days

      time, U(Top PMT), V(Top PMT),   U(Anode),   V(Anode),    U(Gate),    V(Gate),   U(NaIce),   V(NaIce), U(Cathode), V(Cathode), U(Bottom PMT), V(Bottom PMT)

#############
# 1st Cycle #
#############

# Reference field, 432 V/cm, fixed voltages

     0.000,   -950.000,     10.000,   3894.090,     10.000,    144.090,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000

   120.000,   -950.000,     10.000,   2853.566,     10.000,      0.000,     10.000,   -800.000,     10.000,   -903.329,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   2853.566,     10.000,   -896.434,     10.000,   -800.000,     10.000,   -903.329,     10.000,  -900.000,     10.000
   230.000,   -950.000,     10.000,   3369.727,     10.000,   -380.273,     10.000,   -800.000,     10.000,   -813.708,     10.000,  -900.000,     10.000

# Reference field, 432 V/cm, fixed voltages

   240.000,   -950.000,     10.000,   3894.090,     10.000,      0.000,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   3894.090,     10.000,    144.090,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000

   110.000,   -950.000,     10.000,   3649.858,     10.000,      0.000,     10.000,   -800.000,     10.000,  -1820.705,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   3649.858,     10.000,   -100.142,     10.000,   -800.000,     10.000,  -1820.705,     10.000,  -900.000,     10.000

   230.000,   -950.000,     10.000,   5000.000,     10.000,      0.000,     10.000,   -800.000,     10.000,  -2621.638,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   5000.000,     10.000,   1250.000,     10.000,   -800.000,     10.000,  -2621.638,     10.000,  -900.000,     10.000

#############
# 2nd Cycle #
#############

# Reference field, 432 V/cm, fixed voltages

   230.000,   -950.000,     10.000,   3894.090,     10.000,    144.090,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000

   120.000,   -950.000,     10.000,   2863.372,     10.000,      0.000,     10.000,   -800.000,     10.000,   -913.308,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   2863.372,     10.000,   -886.628,     10.000,   -800.000,     10.000,   -913.308,     10.000,  -900.000,     10.000
   230.000,   -950.000,     10.000,   3571.000,     10.000,   -179.000,     10.000,   -800.000,     10.000,   -800.000,     10.000,  -900.000,     10.000

# Reference field, 432 V/cm, fixed voltages

   240.000,   -950.000,     10.000,   3894.090,     10.000,      0.000,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000
    10.000,   -950.000,     10.000,   3894.090,     10.000,    144.090,     10.000,   -800.000,     10.000,  -1986.050,     10.000,  -900.000,     10.000

