[{'time': datetime.datetime(2018, 10, 7, 15, 36, 31, 199104), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 32, 62146), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 33, 12582), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 33, 962555), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 34, 912915), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 35, 872488), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 36, 864840), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 37, 864753), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 38, 861860), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 39, 865126), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 40, 867139), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 41, 865521), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 42, 871534), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 43, 867304), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 44, 867557), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 45, 868958), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 46, 869553), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 47, 869976), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 48, 864411), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
[{'time': datetime.datetime(2018, 10, 7, 15, 36, 49, 873729), 'u_anode': nan, 'i_anode': nan, 'u_gate': nan, 'i_gate': nan, 'u_cathode': nan, 'i_cathode': nan, 'u_pmt_1': nan, 'i_pmt_1': nan, 'u_pmt_2': nan}]
